京A	中央国家机关用车、外资机构用车、公交车
云E	楚雄彝族自治州
云F	玉溪市
云G	红河哈尼族彝族自治州
云H	文山壮族苗族自治州
云J	普洱市
云K	西双版纳傣族自治州
云L	大理白族自治州
云M	保山市
云N	德宏傣族景颇族自治州
云O	公安
云P	丽江市
云Q	怒江傈僳族自治州
云R	迪庆藏族自治州
云S	临沧市
藏A	拉萨市
藏B	昌都市
藏C	山南市
藏D	日喀则市
藏E	那曲市
藏F	阿里地区
藏G	林芝市
陕A/U	西安市
陕B	铜川市
陕C	宝鸡市
陕D	咸阳市
陕E	渭南市
陕F	汉中市
陕G	安康市
陕H	商洛市
陕J	延安市
陕K	榆林市
陕V	杨凌农业高新技术产业示范区
甘A	兰州市
甘B	嘉峪关市
甘C	金昌市
甘D	白银市
甘E	天水市
甘F	酒泉市
甘G	张掖市
甘H	武威市
甘J	定西市
甘K	陇南市
甘L	平凉市
甘M	庆阳市
甘N	临夏回族自治州
甘P	甘南藏族自治州
青A/O	西宁市
青B	海东市
青C	海北藏族自治州
青D	黄南藏族自治州
青E	海南藏族自治州
青F	果洛藏族自治州
青G	玉树藏族自治州
青H	海西蒙古族藏族自治州
宁A	银川市
宁B	石嘴山市
宁C	吴忠市
宁D	固原市
宁E	中卫市
新A	乌鲁木齐市
新B	昌吉回族自治州、五家渠市
新C	石河子市
新D	奎屯市、胡杨河市
新E	博尔塔拉蒙古自治州、双河市
新F	伊犁哈萨克自治州（不含塔城地区、阿勒泰地区和奎屯市）、可克达拉市
新G	塔城地区、白杨市
新H	阿勒泰地区、北屯市
新J	克拉玛依市
新K	吐鲁番市
新L	哈密市、新星市
新M	巴音郭楞蒙古自治州、铁门关市
新N	阿克苏地区、阿拉尔市
新O	警用
新P	克孜勒苏柯尔克孜自治州
新Q	喀什地区（不含叶城县）、图木舒克市
新R	和田地区、叶城县
新S	昆玉市
